ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명
109900004,도봉05,26,109900046,10747,청구아파트
100100316,6642,26,115000129,16226,양천향교입구
100100078,503,26,116000004,17004,신도림동.구로역
100100012,107,26,207000278,61067,신곡지하차도
100100573,6702,26,101000097,2201,장충체육관앞
100100102,661,26,210000353,46027,KT북부천지사.365안전교육장
100100015,110B국민대,26,112000075,13158,동신병원
100100421,6014,26,161010557,92644,영종대교(가상)
100100363,7737,26,112000014,13014,세브란스병원앞
100100086,601,26,112000014,13014,세브란스병원앞
100100184,1227,26,105000195,6281,영휘원사거리.(구)홍릉사거리
107900004,성북12,26,107900234,8908,장위천주교앞
100100358,7727,26,219000370,36686,마두역(중)
100100501,3319,26,123000039,24128,신천동진주아파트
104000011,N31,26,123000039,24128,신천동진주아파트
100100179,1222,26,105000438,6775,경동시장앞
124000036,345,26,122000094,23197,삼성역7번출구
100100023,144,26,107000068,8158,안암오거리
100100251,5513,26,120000140,21242,관악드림타운북문
100100189,2014,26,103000012,4110,코스모타워.서울신용보증재단성동지점
121900007,서초09,26,121900198,22859,강남역.삼성전자
121900006,서초11,26,121000036,22112,서일초등학교
100100150,1135,26,110000258,11359,을지중학교
100100222,3316,26,124000133,25244,강동리바트
100100097,650,26,118000033,19118,김안과병원
100100613,3322,26,123000083,24172,삼전삼밭나루공원입구
100100265,5531,26,208000065,9146,안양1번가.안양고용센터
100100269,5537,26,117000915,18236,대우당약국
100100089,604,26,113000077,14168,신촌로터리
100100080,505,26,117000001,18001,문성초등학교
100100599,2311,26,106000086,7180,면목시장
100100190,2015,26,105000111,6197,답십리1동희망샘교회앞
100100427,4319,26,122000135,23238,대치동미도아파트
100100171,1164,26,107000157,8252,길원초등학교입구
116900007,구로09,26,116900116,17974,KEB하나은행
100100209,2412,26,123000299,24390,가락1동주민센터
100100056,341,26,123000053,24142,잠실엘스아파트앞
100100436,670,26,118000130,19215,영등포아리수정수센터
123900001,송파01,26,123000627,24912,송파레미니스아파트
124000014,6007,26,118000617,19180,페어몬트앰배서더
110000005,8101,26,101000018,2110,경찰청.동북아역사재단
111000019,2236,26,106000485,7136,양원숲초등학교
116900006,구로07,26,116000632,17712,항동하버라인10단지
122000009,6105,26,111001117,12113,구파발역.롯데몰
100100389,9401,26,121000965,22641,서초IC(가상)
123900002,송파02,26,123000371,24463,송파파인타운3단지.한림예고
100100272,5615,26,116000066,17152,신도림중학교
112000003,8773,26,113000505,14096,홍대입구역(가상)
100100276,5619,26,116000021,17107,거리공원
100100448,7013B,26,113000210,14313,서강해모로아파트
124000035,N13B,26,102000072,3166,한남5거리
122000004,N6701,26,113000465,14854,난지한강공원(가상)
100100566,1115,26,108000136,9224,삼양동벽산라이브파크미양초등학교
100100451,6716,26,115000090,16187,KT강서지사
121900005,서초03,26,121000029,22105,창신교회앞.서리풀노리학교
100100362,7733,26,113000018,14108,월드컵파크3단지.난지천공원
100100390,9403,26,206000075,47140,하탑초교.탑마을3차아파트
114900001,양천01,26,114000004,15104,영도초등학교
123000004,8336,26,123000275,24366,건너말공원입구
100100612,3426,26,122900053,23595,개포동역8번출구
100100329,6657,26,115000233,16330,강서한강자이아파트
100900001,종로06,26,100900146,1853,귀빈예식장
100100320,6647,26,115000273,16379,천주교성당
115000012,6633,26,116000607,17755,성락교회크리스천선교센터
116900015,구로08,26,116900194,17741,개봉사거리
100100291,6511,26,118000182,19267,흰돌교회
100100212,3212,26,124000101,25210,대순진리회
111000015,N877,26,112000140,13223,연희동자치회관
109900005,도봉09,26,109900031,10791,도봉파크빌3단지
100100313,6638,26,114000100,15203,목동우성아파트입구
100100167,1157,26,109000234,10323,창1동대우그린아파트
100100499,7212,26,111000161,12251,구기터널입구
107900001,성북13,26,107900237,8914,나약국
116900012,구로06,26,116900154,17917,123전자타운.2001아울렛
100100548,7714,26,111000171,12261,응암1동주민센터
100100340,7021,26,112000076,13159,서대문구보건소별관
113900013,마포08,26,113900281,14991,신촌농협.하나로마트
100100449,7013A,26,113000145,14236,신수중학교
100100339,7019,26,111000177,12267,백련산힐스테이트2차
111000010,7734,26,111000172,12262,영락중학교입구
100100022,143,26,121000302,22381,반포대교남단.한강시민공원입구
100100181,1224,26,110000683,11170,공릉동.동신아파트앞
100100317,6643,26,115000041,16137,경복비즈니스고등학교
100100305,6628,26,118000029,19114,영등포역
108900001,강북11,26,108000060,9148,강북경찰서입구
100100186,2012,26,104000038,5131,용암사입구
100100250,5511,26,120000150,21252,서울대입구역
100100360,7730,26,112000081,13164,유진상가
107900012,성북06,26,107000074,8164,정릉4동주민센터.경국사
100100387,8774,26,112000137,13220,명지전문대.충암중고등학교
124000013,6103,26,161000612,92702,인천공항T2-B1층
100100513,6100,26,161020572,92653,인천공항T2-회전구간(가상)
100100611,2312,26,124000128,25239,십자성마을
115000006,6019,26,119000082,20175,총신대
100100567,6701,26,113000004,14004,공덕역
100100584,6010,26,129000111,35678,난지도하수처리장(가상)
100100571,6704,26,122000656,23916,코엑스인터컨티넨탈호텔
115900005,강서05,26,115000041,16137,경복비즈니스고등학교
122000010,6705B,26,123000563,24620,잠실롯데월드호텔롯데타워
100100570,6705A,26,123000563,24620,잠실롯데월드호텔롯데타워
100100551,673,26,277104250,15451,고강지하차도입구(경유)
100100164,1154,26,207000082,61083,추동아파트
119900013,동작02,27,119900127,20866,성대시장
100100062,401,27,122000089,23192,봉은사역3번출구.삼성1파출소
124000036,345,27,122000089,23192,봉은사역3번출구.삼성1파출소
107000002,343,27,122000089,23192,봉은사역3번출구.삼성1파출소
100100184,1227,27,105000557,6780,정화여자중.상업고등학교
100100209,2412,27,123000298,24389,가락시장.헬리오시티
100100583,121,27,105000103,6189,서울시립대학교앞
100100084,571,27,114000050,15152,파리공원
100100409,421,27,102000234,3328,삼각지역11번출구
100100522,2016,27,104000134,5227,어린이대공원역.화양천주교회
100100124,17,27,102000201,3295,이촌2동강변아파트
100100306,6629,27,115000046,16142,우장초등학교
114900003,양천03,27,114000151,15254,목동역
100100248,5012,27,114000162,15265,목동7단지
104000007,01A,27,101000006,2006,서울역버스환승센터
100100330,6712,27,118000132,19217,안양천입구
100000016,N876,27,113000412,14012,합정역
100100312,6637,27,118000027,19112,경방타임스퀘어.신세계백화점
115000010,N64,27,114000169,15272,목동역.목동오거리
115000008,N65,27,114000169,15272,목동역.목동오거리
100100550,662,27,116000004,17004,신도림동.구로역
100100252,5515,27,120000042,21143,서울산업정보학교.삼성교
123000013,N73,27,103000138,4240,성수역1번출구
100100258,5522B호암,27,120000112,21214,우림시장.난곡보건분소
107900005,성북04,27,107000212,8308,성북구청
100100273,5616,27,120000105,21207,세이브마트앞
100100259,5523,27,120000010,21109,남부초등학교
100100309,6632,27,115000004,16004,등촌역.강서보건소
111000013,775,27,218000159,35259,관산삼거리
109900001,도봉01,27,109900041,10779,신일라이프아파트
110900001,노원04,27,110900095,11901,공릉초등학교
107900004,성북12,27,107900236,8915,GS25장위제일점
100100178,1221,27,110000039,11139,화랑대역2번출구
100100453,6613,27,116000121,17211,덕의초등학교
109900006,도봉08,27,109900030,10792,도봉1파출소
100100440,700,27,218000142,35623,항공대입구(중)
100100095,642,27,116000063,17149,기업은행구로중앙지점
114000002,8641,27,118000015,19015,대방역
100100291,6511,27,118000183,19268,대림동우체국
116900008,영등포01,27,118900026,19536,중앙시장
113900010,마포07,27,113900205,14960,레드로드입구
100100063,402,27,122000123,23226,대치역1번출구
116900007,구로09,27,116900159,17911,구로3동현대아파트
100100104,702A서오릉,27,112000407,13028,홍제역.서대문세무서
107900012,성북06,27,107900279,8939,산장아파트
100100061,370,27,104000003,5003,군자역.용마초등학교
120900004,관악06,27,120900151,21880,승산밝은빛교회.구무림비디오
121900015,서초18-1,27,121900279,22946,삽준네마을
107000009,8111,27,100000066,1161,벽산평창힐스아파트
100100593,N13,27,105000042,6126,외대앞
100100552,7739,27,112000065,13148,연희교차로
100100360,7730,27,112000083,13166,문화촌현대아파트
109900003,도봉06,27,109900033,10789,한일병원입구
111900013,금천01-1,27,117900082,18549,은행나무입구사거리
117900012,금천11-1,27,117900030,18789,시흥3동주민센터앞
108900007,강북06,27,108900052,9819,한영교회
